assetId,downloadAttribute,filetype,size,downloadLink,rawLink
WoodFloor051,1K-JPG,zip,3773674,https://ambientcg.com/get?file=WoodFloor051_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_1K-JPG.zip
WoodFloor051,1K-PNG,zip,11673562,https://ambientcg.com/get?file=WoodFloor051_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_1K-PNG.zip
WoodFloor051,2K-JPG,zip,14425913,https://ambientcg.com/get?file=WoodFloor051_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_2K-JPG.zip
WoodFloor051,2K-PNG,zip,45342997,https://ambientcg.com/get?file=WoodFloor051_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_2K-PNG.zip
WoodFloor051,4K-JPG,zip,54752174,https://ambientcg.com/get?file=WoodFloor051_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_4K-JPG.zip
WoodFloor051,4K-PNG,zip,175161595,https://ambientcg.com/get?file=WoodFloor051_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_4K-PNG.zip
WoodFloor051,8K-JPG,zip,214302335,https://ambientcg.com/get?file=WoodFloor051_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_8K-JPG.zip
WoodFloor051,8K-PNG,zip,671078687,https://ambientcg.com/get?file=WoodFloor051_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor051_Qlc4y3La/WoodFloor051_8K-PNG.zip
WoodFloor056,1K-JPG,zip,3953938,https://ambientcg.com/get?file=WoodFloor056_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_1K-JPG.zip
WoodFloor056,1K-PNG,zip,11780016,https://ambientcg.com/get?file=WoodFloor056_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_1K-PNG.zip
WoodFloor056,2K-JPG,zip,15006157,https://ambientcg.com/get?file=WoodFloor056_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_2K-JPG.zip
WoodFloor056,2K-PNG,zip,45778240,https://ambientcg.com/get?file=WoodFloor056_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_2K-PNG.zip
WoodFloor056,4K-JPG,zip,57073659,https://ambientcg.com/get?file=WoodFloor056_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_4K-JPG.zip
WoodFloor056,4K-PNG,zip,177414922,https://ambientcg.com/get?file=WoodFloor056_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_4K-PNG.zip
WoodFloor056,8K-JPG,zip,223434428,https://ambientcg.com/get?file=WoodFloor056_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_8K-JPG.zip
WoodFloor056,8K-PNG,zip,681734307,https://ambientcg.com/get?file=WoodFloor056_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor056_ayC76dPU/WoodFloor056_8K-PNG.zip
WoodFloor057,1K-JPG,zip,5714879,https://ambientcg.com/get?file=WoodFloor057_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_1K-JPG.zip
WoodFloor057,1K-PNG,zip,14963405,https://ambientcg.com/get?file=WoodFloor057_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_1K-PNG.zip
WoodFloor057,2K-JPG,zip,22320675,https://ambientcg.com/get?file=WoodFloor057_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_2K-JPG.zip
WoodFloor057,2K-PNG,zip,58984139,https://ambientcg.com/get?file=WoodFloor057_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_2K-PNG.zip
WoodFloor057,4K-JPG,zip,87578467,https://ambientcg.com/get?file=WoodFloor057_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_4K-JPG.zip
WoodFloor057,4K-PNG,zip,231554505,https://ambientcg.com/get?file=WoodFloor057_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_4K-PNG.zip
WoodFloor057,8K-JPG,zip,383082604,https://ambientcg.com/get?file=WoodFloor057_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_8K-JPG.zip
WoodFloor057,8K-PNG,zip,941077887,https://ambientcg.com/get?file=WoodFloor057_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor057_wFMlozrg/WoodFloor057_8K-PNG.zip
Wood081,1K-JPG,zip,4562105,https://ambientcg.com/get?file=Wood081_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_1K-JPG.zip
Wood081,1K-PNG,zip,13455515,https://ambientcg.com/get?file=Wood081_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_1K-PNG.zip
Wood081,2K-JPG,zip,18299184,https://ambientcg.com/get?file=Wood081_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_2K-JPG.zip
Wood081,2K-PNG,zip,53792066,https://ambientcg.com/get?file=Wood081_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_2K-PNG.zip
Wood081,4K-JPG,zip,71552851,https://ambientcg.com/get?file=Wood081_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_4K-JPG.zip
Wood081,4K-PNG,zip,212887848,https://ambientcg.com/get?file=Wood081_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_4K-PNG.zip
Wood081,8K-JPG,zip,268694722,https://ambientcg.com/get?file=Wood081_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_8K-JPG.zip
Wood081,8K-PNG,zip,823579584,https://ambientcg.com/get?file=Wood081_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood081_XOTpsorU/Wood081_8K-PNG.zip
WoodFloor052,1K-JPG,zip,4961790,https://ambientcg.com/get?file=WoodFloor052_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_1K-JPG.zip
WoodFloor052,1K-PNG,zip,13904241,https://ambientcg.com/get?file=WoodFloor052_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_1K-PNG.zip
WoodFloor052,2K-JPG,zip,19127574,https://ambientcg.com/get?file=WoodFloor052_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_2K-JPG.zip
WoodFloor052,2K-PNG,zip,54468618,https://ambientcg.com/get?file=WoodFloor052_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_2K-PNG.zip
WoodFloor052,4K-JPG,zip,73665032,https://ambientcg.com/get?file=WoodFloor052_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_4K-JPG.zip
WoodFloor052,4K-PNG,zip,213788890,https://ambientcg.com/get?file=WoodFloor052_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_4K-PNG.zip
WoodFloor052,8K-JPG,zip,338256100,https://ambientcg.com/get?file=WoodFloor052_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_8K-JPG.zip
WoodFloor052,8K-PNG,zip,881017702,https://ambientcg.com/get?file=WoodFloor052_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor052_TYcPa8Zs/WoodFloor052_8K-PNG.zip
OutdoorHDRI024,12K-HDR,exr,236900107,https://ambientcg.com/get?file=OutdoorHDRI024_12K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_12K-HDR.exr
OutdoorHDRI024,16K-HDR,exr,421821498,https://ambientcg.com/get?file=OutdoorHDRI024_16K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_16K-HDR.exr
OutdoorHDRI024,1K-HDR,exr,1857902,https://ambientcg.com/get?file=OutdoorHDRI024_1K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_1K-HDR.exr
OutdoorHDRI024,2K-HDR,exr,7150564,https://ambientcg.com/get?file=OutdoorHDRI024_2K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_2K-HDR.exr
OutdoorHDRI024,4K-HDR,exr,28030491,https://ambientcg.com/get?file=OutdoorHDRI024_4K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_4K-HDR.exr
OutdoorHDRI024,8K-HDR,exr,109926431,https://ambientcg.com/get?file=OutdoorHDRI024_8K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_8K-HDR.exr
OutdoorHDRI024,12K-TONEMAPPED,jpg,40067615,https://ambientcg.com/get?file=OutdoorHDRI024_12K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_12K-TONEMAPPED.jpg
OutdoorHDRI024,16K-TONEMAPPED,jpg,69185638,https://ambientcg.com/get?file=OutdoorHDRI024_16K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_16K-TONEMAPPED.jpg
OutdoorHDRI024,1K-TONEMAPPED,jpg,314016,https://ambientcg.com/get?file=OutdoorHDRI024_1K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_1K-TONEMAPPED.jpg
OutdoorHDRI024,2K-TONEMAPPED,jpg,1210758,https://ambientcg.com/get?file=OutdoorHDRI024_2K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_2K-TONEMAPPED.jpg
OutdoorHDRI024,4K-TONEMAPPED,jpg,4778133,https://ambientcg.com/get?file=OutdoorHDRI024_4K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_4K-TONEMAPPED.jpg
OutdoorHDRI024,8K-TONEMAPPED,jpg,18433831,https://ambientcg.com/get?file=OutdoorHDRI024_8K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_8K-TONEMAPPED.jpg
